group,tsne_x,tsne_y
Experiments,87.1917,11.7129
Experiments,79.3218,-38.0541
Experiments,73.6173,-3.1649
Experiments,52.7891,6.0638
Experiments,62.4117,-68.5692
Experiments,83.3199,-31.5307
Experiments,82.369,-30.841
Experiments,100.2785,13.1251
Experiments,55.9011,24.966
Experiments,93.93,-34.9932
Experiments,50.0309,-10.3452
Experiments,48.5196,-68.0288
Experiments,85.1136,-7.8639
Experiments,23.7357,-45.9411
Experiments,84.4894,-19.7166
Experiments,38.6502,-5.3514
Experiments,46.2542,5.8092
Experiments,28.4681,14.7571
Experiments,76.4043,-23.5104
Experiments,47.9651,-12.9792
Experiments,52.8068,-19.8609
Experiments,49.038,-56.369
Experiments,108.9299,-11.4777
Experiments,-50.2904,-23.1201
Experiments,33.8944,-59.2402
Experiments,100.112,-2.8537
Experiments,102.3987,-26.0872
Experiments,29.3307,36.6834
Experiments,103.0369,-6.2097
Experiments,78.1332,-20.6359
Experiments,38.2512,-56.1925
Experiments,24.1142,-25.8659
Experiments,63.8746,-56.6093
Experiments,88.6704,-3.9927
Experiments,66.5376,47.5572
Experiments,73.8552,-62.237
Experiments,17.3028,-43.9683
Experiments,103.3744,-25.0957
Experiments,63.8784,63.5915
Experiments,96.3299,0.0348
Experiments,25.111,-28.0776
Experiments,65.2179,62.5506
Experiments,23.4937,15.9482
Experiments,36.9194,14.1206
Experiments,57.1684,52.733
Experiments,57.7926,63.876
Experiments,38.1958,15.2593
Experiments,51.5629,-8.8086
Experiments,54.5016,-51.7586
Experiments,26.7896,-67.1554
Experiments,37.4689,9.5959
Experiments,-3.2422,64.2214
Experiments,95.6927,-34.5896
Experiments,28.4561,-5.1191
Experiments,-14.2305,27.3258
Experiments,54.9614,18.879
Experiments,83.2021,23.0151
Experiments,39.2451,-36.2104
Experiments,27.6961,-12.2261
Experiments,90.2015,-3.9115
Experiments,55.5096,-79.4045
Experiments,47.2889,35.4608
Experiments,29.937,-60.6454
Experiments,61.9244,73.0335
Experiments,104.3837,-26.993
Experiments,87.7627,-7.9321
Experiments,83.0934,-25.7916
Experiments,43.4979,46.4446
Experiments,34.4258,35.9053
Experiments,72.655,-62.0281
Experiments,68.1041,49.1942
Experiments,74.159,13.1173
Experiments,35.6022,51.8139
Experiments,52.9794,-23.1229
Experiments,56.3136,-56.25
Experiments,-43.9389,-22.5404
Experiments,99.7793,-22.1399
Experiments,38.1266,-21.4333
Experiments,61.8581,7.8255
Experiments,57.523,67.0164
Experiments,37.4602,66.5264
Experiments,76.6143,-3.7412
Experiments,49.0661,2.0447
Experiments,45.2472,-15.45
Experiments,103.2507,-26.4925
Experiments,91.5023,-5.7394
Experiments,54.9707,-29.7647
Experiments,45.1462,-38.0563
Experiments,38.937,-39.1071
Experiments,-28.1784,-43.1859
Experiments,58.5584,25.3602
Experiments,37.8124,-30.1007
Experiments,52.8795,41.2049
Experiments,57.0294,51.5914
Experiments,41.9642,50.4998
Experiments,37.4018,36.0866
Experiments,43.9576,36.2716
Experiments,49.0186,-18.4733
Experiments,95.6007,13.7504
Experiments,61.7639,73.7448
Experiments,78.6097,1.9482
Experiments,28.0212,11.0218
Experiments,78.2912,0.769
Experiments,49.1243,11.2521
Experiments,33.4119,71.656
Experiments,95.463,1.1183
Experiments,46.6635,-82.1772
Experiments,30.8582,19.8648
Experiments,48.6113,35.9188
Experiments,62.9488,22.2761
Experiments,73.0829,46.7261
Experiments,78.8351,29.4938
Experiments,-5.8958,-98.9293
Experiments,72.4723,-38.7722
Experiments,91.8803,1.1696
Experiments,103.1692,-27.8818
Experiments,84.2658,11.6571
Experiments,35.5534,39.901
Experiments,47.2442,73.3146
Experiments,72.2696,-30.5534
Experiments,78.5735,-16.309
Experiments,38.2749,58.0784
Experiments,68.8946,49.0809
Experiments,34.0875,54.1848
Experiments,24.0689,-49.3879
Experiments,34.7764,-52.9844
Experiments,52.529,0.2545
Experiments,92.38,-31.8362
Experiments,14.7856,-46.5036
Experiments,48.4505,-62.6682
Experiments,-76.324,-28.8772
Experiments,78.7336,-4.3477
Experiments,78.5881,1.5804
Experiments,38.9115,-32.8017
Experiments,87.6662,-19.4083
Experiments,35.0573,42.3774
Experiments,69.988,-30.2976
Experiments,45.573,74.771
Experiments,58.4918,-68.8502
Experiments,89.9255,-36.7453
Experiments,34.7387,-27.2072
Experiments,48.9287,-35.334
Experiments,56.8459,-77.6559
Experiments,49.7241,-45.1032
Experiments,11.7677,89.7157
Experiments,91.2898,-7.6539
Experiments,47.4671,-39.0033
Experiments,35.7481,38.5925
Experiments,68.5011,-71.9707
Experiments,42.1314,-61.2615
Experiments,65.3575,62.7719
Experiments,58.3099,50.978
Experiments,55.1361,-70.3884
Experiments,27.2759,-56.4941
Experiments,91.5641,26.5235
Experiments,56.3628,0.8573
Experiments,65.0752,52.6498
Experiments,59.1925,16.8312
Experiments,44.2833,-11.9535
Experiments,63.3274,-56.4764
Experiments,36.2327,-38.6828
Experiments,59.2592,5.563
Experiments,102.16,-28.87
Experiments,32.3329,-64.4082
Experiments,63.693,30.7605
Experiments,39.8719,-55.867
Experiments,96.5636,-24.875
Experiments,50.754,-34.8825
Experiments,24.0474,-55.5987
Experiments,37.2146,21.9002
Experiments,101.8272,-11.3665
Experiments,36.8013,-10.7375
Experiments,105.7169,-6.0047
Experiments,56.4727,39.1667
Experiments,66.0097,65.9631
Experiments,27.8088,-53.1997
Experiments,46.9624,50.4331
Experiments,66.7577,-72.6725
Experiments,23.1036,-46.0025
Experiments,54.7829,6.6728
Experiments,89.9186,32.9481
Experiments,43.7626,50.036
Experiments,68.0202,36.0311
Experiments,89.7285,-35.4592
Experiments,62.6413,-41.402
Experiments,93.2324,12.7122
Experiments,84.2629,11.6643
Experiments,86.7621,-25.5639
Experiments,16.8242,-50.1438
Experiments,47.267,-18.095
Experiments,74.1765,13.1228
Experiments,51.1668,2.1335
Experiments,52.0456,-2.8301
Experiments,18.6734,28.6828
Experiments,58.4338,51.3413
Experiments,88.3061,0.471
Experiments,69.7165,1.4743
Experiments,59.3614,-15.6525
Experiments,47.7544,6.1211
Experiments,54.2768,-16.4183
Experiments,78.5567,4.165
Experiments,61.5377,33.4027
Experiments,103.387,-16.2879
Experiments,38.96,-75.8884
Experiments,83.2198,-34.305
Experiments,98.1588,-1.6761
Experiments,68.0899,35.9794
Experiments,66.1612,68.5452
Experiments,43.2722,-50.566
Experiments,52.6212,-54.5838
Experiments,67.3955,-71.5796
Experiments,75.019,-42.6225
Experiments,51.9217,27.9445
Experiments,58.1088,67.0103
Experiments,46.7394,-62.1483
Experiments,102.813,1.0199
Experiments,-39.7171,60.4939
Experiments,48.2266,-74.2858
Experiments,46.1964,-60.8896
Experiments,25.4397,-67.9587
Experiments,50.188,-56.2947
Experiments,46.0298,11.8497
Experiments,62.046,-60.4081
Experiments,23.2244,-16.6548
Experiments,93.8488,-34.9047
Experiments,49.9148,-43.498
Experiments,-1.5502,-2.2484
Experiments,41.8562,-6.7161
Experiments,55.3833,-11.0689
Experiments,71.1662,-61.5681
Experiments,77.076,-33.0096
Experiments,76.9157,-66.7465
Experiments,54.8615,-33.0215
Experiments,57.6042,3.6271
Experiments,68.869,-69.7184
Experiments,80.0893,-30.4383
Experiments,64.6862,63.1308
Experiments,63.0745,-39.0188
Experiments,54.0656,52.3692
Experiments,79.3737,-35.5601
Experiments,29.3507,-62.6805
Experiments,50.0731,-70.5829
Experiments,61.9284,72.3427
Experiments,79.7906,30.7704
Experiments,78.5533,-67.692
Experiments,75.4535,-21.8967
Experiments,53.5509,-15.0087
Experiments,29.6484,3.8383
Experiments,31.1198,19.5779
Experiments,52.3569,3.946
Experiments,59.4952,-37.58
Experiments,-57.6827,-28.469
Experiments,52.5124,-44.4092
Experiments,99.3801,12.2277
Experiments,46.5338,68.6993
Experiments,61.3298,54.3293
Experiments,90.8707,-16.2616
Experiments,44.8776,-1.6153
Experiments,28.6105,24.7302
Experiments,58.881,-43.0987
Experiments,22.5054,-19.7232
Experiments,40.8259,-2.8492
Experiments,-18.1372,-42.7257
Experiments,46.8824,71.4613
Experiments,40.461,68.5666
Experiments,73.4044,-32.289
Experiments,80.1792,-5.4857
Experiments,57.2533,67.6474
Experiments,49.8441,24.7842
Experiments,63.4582,10.526
Experiments,35.7688,36.9342
Experiments,85.8388,1.0559
Experiments,47.0181,-14.8182
Experiments,43.1426,59.5991
Experiments,47.4444,-11.0282
Experiments,41.9772,-58.2852
Experiments,84.8949,-5.5388
Experiments,50.0692,24.1098
Experiments,58.2232,51.9526
Experiments,47.4483,-68.2064
Experiments,55.7033,25.0457
Experiments,44.7621,-61.2995
Experiments,98.4202,41.6086
Experiments,17.5709,-49.1886
Experiments,34.2666,-22.4855
Experiments,99.2424,8.8399
Experiments,34.0848,64.4848
Experiments,57.4928,67.0142
Experiments,52.0463,43.6374
Experiments,94.9625,5.9723
Experiments,58.6668,-68.9836
Experiments,49.2904,-67.0071
Experiments,21.976,-69.0636
Experiments,26.367,-67.7355
Experiments,56.4402,18.895
Experiments,39.1453,65.463
Experiments,52.3369,3.9637
Experiments,53.6143,68.55
Experiments,57.0431,17.8586
Experiments,43.1344,59.5807
Experiments,90.5591,0.6713
Experiments,79.6771,-45.4755
Experiments,68.4573,41.1885
Experiments,52.759,-6.0495
Experiments,54.5796,-20.5262
Experiments,74.5321,-61.7827
Experiments,54.2195,-33.6697
Experiments,39.7779,62.5152
Experiments,57.2233,41.2715
Experiments,51.9372,-58.4684
Experiments,93.2395,12.1565
Experiments,96.553,20.0011
Experiments,42.7955,-43.612
Experiments,50.768,51.4733
Experiments,89.995,-37.3511
Experiments,100.3124,13.1498
Experiments,103.4173,-16.1433
Experiments,101.9909,20.5811
Experiments,36.3128,-23.3074
Experiments,53.4457,-21.2901
Experiments,62.0273,-3.5895
Experiments,41.7144,-55.2685
Experiments,33.7798,7.9989
Experiments,52.6442,-77.6509
Experiments,81.8962,8.2822
Experiments,75.1112,67.7477
Experiments,101.9848,-5.8098
Experiments,32.9486,63.1751
Experiments,51.7968,6.0462
Experiments,34.5432,-27.8623
Experiments,73.9706,67.6321
Experiments,78.3116,-25.3654
Experiments,44.2053,33.3957
Experiments,61.062,-20.7268
Experiments,52.8533,37.207
Experiments,57.2359,64.3535
Experiments,43.6612,54.8241
Experiments,39.6629,-56.5349
Experiments,76.842,-14.0326
Experiments,-10.6375,-37.2826
Experiments,72.678,-39.2417
Experiments,40.1084,14.1233
Experiments,39.2785,65.5726
Experiments,38.2085,-26.0853
Experiments,31.0519,-35.4511
Experiments,65.968,-74.1001
Experiments,84.5568,10.6887
Experiments,40.0234,35.0666
Experiments,56.7016,54.8887
Experiments,51.5874,-9.7962
Experiments,27.9685,61.0092
Experiments,62.126,53.3802
Experiments,65.6497,43.0126
Experiments,42.388,-58.6604
Experiments,52.8904,-74.3384
Experiments,107.957,-10.8905
Experiments,69.1735,-70.0665
Experiments,100.7473,22.1762
Experiments,71.9426,18.1951
Experiments,92.1685,35.1838
Experiments,34.6039,-8.2797
Experiments,37.0536,11.6881
Experiments,28.1126,-22.4308
Experiments,20.6426,-42.3445
Experiments,39.7129,62.5256
Experiments,93.2949,-6.5892
Experiments,72.6042,-28.1698
Experiments,108.2553,-11.2892
Experiments,30.6629,69.4944
Experiments,56.8372,-30.2093
Experiments,62.7174,-74.1279
Experiments,54.4856,-46.0138
Experiments,65.6985,-74.7959
Experiments,79.499,43.5439
Experiments,57.2137,43.4476
Experiments,35.2135,-64.7783
Experiments,36.5846,68.4399
Experiments,58.904,-6.9976
Experiments,31.1244,-59.8874
Experiments,41.9358,0.3744
Experiments,75.49,-14.1591
Experiments,58.7962,77.8807
Experiments,48.4893,-16.6746
Experiments,38.7684,32.6793
Experiments,62.55,-69.9817
Experiments,76.8326,-10.9104
Experiments,33.8669,-19.3288
Experiments,70.0448,-10.3036
Experiments,50.932,41.7979
Experiments,36.1622,-39.382
Experiments,10.2528,68.9986
Experiments,62.8037,-66.3638
Experiments,32.553,-52.1004
Experiments,35.8945,-37.8252
Experiments,27.1297,-44.1064
Experiments,11.0088,-14.445
Experiments,42.3224,-36.4199
Experiments,54.2472,-25.3518
Experiments,38.127,-70.0513
Experiments,22.2855,-29.5092
Experiments,19.1733,-54.1435
Experiments,32.6647,-69.457
Experiments,38.1075,38.4524
Experiments,24.1902,-6.8669
Experiments,108.538,-11.0111
Experiments,90.3373,-26.9895
Experiments,77.1866,17.5375
Experiments,73.5474,-0.8189
Experiments,67.5846,-66.2177
Experiments,63.2769,-77.7955
Experiments,59.5653,70.1775
Experiments,57.6684,48.6815
Experiments,60.1757,-74.8338
Experiments,40.8158,-36.8998
Experiments,-68.0068,-41.1709
Experiments,72.808,-12.4811
Experiments,70.4339,-35.0807
Experiments,47.7284,-61.5594
Experiments,84.8125,9.6276
Experiments,54.2249,42.4533
Experiments,22.8702,13.9371
Experiments,53.719,67.0165
Experiments,43.6593,14.3692
Experiments,56.4713,-51.6405
Experiments,96.1485,-26.0909
Experiments,53.2128,-24.7611
Experiments,61.7834,76.196
Experiments,36.8014,-78.1371
Experiments,24.0057,-57.7745
Experiments,35.1172,4.2933
Experiments,83.2372,4.3062
Experiments,42.2362,51.9543
Experiments,71.512,32.7016
Experiments,63.8788,7.3475
Experiments,47.2404,73.7986
Experiments,54.4822,25.0782
Experiments,38.5294,3.7109
Experiments,49.9709,49.7181
Experiments,-66.8315,60.8879
Experiments,27.5906,32.3867
Experiments,74.0658,41.2475
Experiments,47.7143,-64.9111
Experiments,57.5092,21.296
Experiments,72.3814,19.0381
Experiments,61.1928,7.9089
Experiments,47.7983,50.9147
Experiments,-9.6247,-36.6971
Experiments,76.1729,-11.6737
Experiments,58.5852,-37.3056
Experiments,44.5667,-15.0286
Experiments,39.2776,6.7589
Experiments,78.6045,4.2124
Experiments,52.3697,-54.7454
Experiments,45.9033,-68.7884
Experiments,53.3262,39.2506
Experiments,99.6507,-3.2607
Experiments,51.5555,-8.4398
Experiments,31.2374,21.3167
Experiments,95.2159,13.327
Experiments,31.0884,-72.4031
Experiments,35.9899,2.2458
Experiments,61.3936,-16.1126
Experiments,86.3618,5.8135
Experiments,83.6399,-7.4621
Experiments,64.8821,43.4405
Experiments,-36.646,24.4035
Experiments,28.7896,-69.292
Experiments,37.386,35.1573
Experiments,99.4832,-27.6782
Experiments,75.0607,-42.8429
Experiments,80.0169,51.7079
Experiments,53.3542,-4.2768
Experiments,84.6961,-33.4509
Experiments,43.173,-8.9744
Experiments,39.5535,46.5987
Experiments,56.1168,-31.2842
Experiments,89.9707,-3.0103
Experiments,102.3141,22.6561
Experiments,25.5091,-67.9202
Experiments,23.2109,10.4496
Experiments,51.2981,-4.1512
Experiments,51.0177,33.8015
Experiments,93.0868,1.323
Experiments,92.3694,13.2317
Experiments,52.3543,-22.9821
Experiments,67.2566,-72.2041
Experiments,23.5096,-46.374
Experiments,50.385,-34.093
Experiments,52.3283,44.2415
Experiments,48.08,78.532
Experiments,73.3932,-36.0329
Experiments,85.4693,23.4126
Experiments,53.1116,55.8971
Experiments,21.3859,-48.1541
Experiments,-21.1523,-67.0467
Experiments,41.6542,-37.0189
Experiments,37.8538,-25.7817
Experiments,74.4254,-42.9331
Experiments,46.8487,6.3821
Experiments,43.0334,44.5048
Experiments,39.0301,4.646
Experiments,60.3551,-19.2581
Experiments,84.3793,19.8237
Experiments,-59.9701,-48.8659
Experiments,39.4555,-54.1386
Experiments,32.2602,63.016
Experiments,35.3778,51.843
Experiments,97.6419,36.1739
Experiments,11.4672,37.058
Experiments,-18.7227,-83.6691
Experiments,47.3317,73.011
Experiments,61.9053,59.3974
Experiments,75.3836,-16.459
Experiments,32.2982,56.2488
Experiments,67.7136,-60.3824
Experiments,30.8764,-46.2802
Experiments,56.3124,-30.2152
Experiments,98.2012,34.5251
Experiments,69.1371,-70.7828
Experiments,31.7142,63.5986
Experiments,-2.5455,-88.3307
Experiments,76.2387,8.6433
Experiments,49.2565,56.6554
Experiments,74.842,-71.5295
Experiments,38.3452,-8.4252
Experiments,37.3566,-77.6231
Experiments,36.4606,8.5548
Experiments,43.8389,18.3717
Experiments,48.1072,-17.0418
Experiments,33.3046,-66.747
Experiments,75.2689,-28.995
Experiments,56.2049,-32.7262
Experiments,44.3253,74.4143
Experiments,52.982,41.2889
Experiments,39.1877,7.712
Experiments,67.35,-71.5974
Experiments,53.4724,1.0149
Experiments,65.9621,72.2068
Experiments,89.1212,24.2436
Experiments,107.9554,-11.2079
Experiments,90.0786,-2.7896
Experiments,55.8717,-53.6925
Experiments,51.7888,1.9835
Experiments,103.085,-29.1696
Experiments,48.5108,-58.2714
Experiments,102.891,-28.1407
Experiments,45.5589,-4.5933
Experiments,84.9894,44.5509
Experiments,55.7328,6.1531
Experiments,86.3811,5.8419
Experiments,-10.737,-37.4362
