MOF_name,thermal_decomposition_temp_C,solvent_removal_stability,dataset
qmof-fbe36d5,414.0,0.75,QMOF reference
qmof-93941e0,378.2,0.95,QMOF reference
qmof-e80fd66,,FAILED,QMOF reference
qmof-2b581ba,335.2,0.54,QMOF reference
qmof-7d19f83,291.9,0.68,QMOF reference
qmof-b56841f,328.3,0.17,QMOF reference
qmof-03660e7,352.2,0.83,QMOF reference
qmof-e5a60a8,285.7,0.14,QMOF reference
qmof-5923d4b,324.9,0.6,QMOF reference
qmof-aa98191,330.2,0.71,QMOF reference
qmof-52d48cb,296.3,0.18,QMOF reference
qmof-c09dfd8,287.3,0.83,QMOF reference
qmof-06d4779,450.2,0.05,QMOF reference
qmof-16addb6,261.8,0.19,QMOF reference
qmof-369bb4b,267.7,0.38,QMOF reference
qmof-b7f4229,288.6,0.61,QMOF reference
qmof-3fc1e9c,320.0,0.75,QMOF reference
qmof-76ace93,303.9,0.17,QMOF reference
qmof-702ad28,,FAILED,QMOF reference
qmof-6454b36,305.6,0.3,QMOF reference
qmof-0b45f96,248.0,0.85,QMOF reference
qmof-59c1dc0,,FAILED,QMOF reference
qmof-3a44113,286.1,0.41,QMOF reference
qmof-82f05d3,356.6,0.19,QMOF reference
qmof-98f7fae,,FAILED,QMOF reference
qmof-2e883c9,393.4,0.33,QMOF reference
qmof-4b6fe6e,342.0,0.83,QMOF reference
qmof-4e1f5c1,,FAILED,QMOF reference
qmof-fcf8eb4,391.0,0.51,QMOF reference
qmof-3a5888d,345.0,0.22,QMOF reference
qmof-3254029,,FAILED,QMOF reference
qmof-53b9017,,FAILED,QMOF reference
qmof-e6e8ebf,383.2,0.9,QMOF reference
qmof-98d06b7,241.8,0.81,QMOF reference
qmof-711c472,364.2,0.91,QMOF reference
qmof-92a333a,484.6,0.87,QMOF reference
qmof-182673b,365.9,0.76,QMOF reference
qmof-d159e42,,FAILED,QMOF reference
qmof-bb53896,239.4,0.93,QMOF reference
qmof-a3753d9,,FAILED,QMOF reference
qmof-746261e,359.5,0.22,QMOF reference
qmof-88a7d5a,282.5,0.48,QMOF reference
qmof-89fcca7,361.6,0.79,QMOF reference
qmof-e312568,562.8,0.01,QMOF reference
qmof-f1d2550,,FAILED,QMOF reference
qmof-e3d0456,293.2,0.91,QMOF reference
qmof-ea234a7,401.5,0.96,QMOF reference
qmof-c8f6487,,FAILED,QMOF reference
qmof-301845c,380.9,0.57,QMOF reference
qmof-b2f66ca,252.1,0.3,QMOF reference
qmof-afb86c2,274.3,0.54,QMOF reference
qmof-5cbefb9,409.4,0.8,QMOF reference
qmof-ef07e73,251.1,0.47,QMOF reference
qmof-985a6f6,326.6,0.96,QMOF reference
qmof-faec724,316.1,0.45,QMOF reference
qmof-8aa82f9,463.8,0.51,QMOF reference
qmof-3b556a3,370.1,0.7,QMOF reference
qmof-d6f338e,239.0,0.42,QMOF reference
qmof-2f13274,357.8,0.95,QMOF reference
qmof-751e1a9,,FAILED,QMOF reference
qmof-24f3901,340.3,0.65,QMOF reference
qmof-60db40b,412.5,0.85,QMOF reference
qmof-0208603,443.6,0.12,QMOF reference
qmof-9c92382,384.3,0.46,QMOF reference
qmof-34239b6,219.0,0.74,QMOF reference
qmof-67b2819,,FAILED,QMOF reference
qmof-0162588,311.9,0.2,QMOF reference
qmof-3f821f2,,FAILED,QMOF reference
qmof-b460db9,330.0,0.31,QMOF reference
qmof-90d1dd5,379.7,0.15,QMOF reference
qmof-f45d6cf,426.7,0.85,QMOF reference
qmof-e6bee8a,314.2,0.87,QMOF reference
qmof-a134189,,FAILED,QMOF reference
qmof-2b6d068,470.3,0.9,QMOF reference
qmof-f2ddafc,322.2,0.81,QMOF reference
qmof-fd68665,352.2,0.93,QMOF reference
qmof-72d2bdc,321.2,0.83,QMOF reference
qmof-94979df,295.4,0.87,QMOF reference
qmof-dabb11e,286.8,0.85,QMOF reference
qmof-6c1a7d6,,FAILED,QMOF reference
qmof-8a528fd,380.7,0.48,QMOF reference
qmof-6f77b06,319.9,0.86,QMOF reference
qmof-2f61188,328.0,0.96,QMOF reference
qmof-8bfe542,482.8,0.03,QMOF reference
qmof-a952798,280.0,0.71,QMOF reference
qmof-9c01d33,,FAILED,QMOF reference
qmof-cd0f38e,,FAILED,QMOF reference
qmof-1da6c76,321.7,0.78,QMOF reference
qmof-57de99b,,FAILED,QMOF reference
qmof-e2e7542,222.7,0.32,QMOF reference
qmof-7cb0c4e,415.9,0.75,QMOF reference
qmof-5d93b3e,,FAILED,QMOF reference
qmof-77bd44c,298.6,0.4,QMOF reference
qmof-fd25ada,338.9,0.66,QMOF reference
qmof-d53eb5d,257.7,0.89,QMOF reference
qmof-790523b,,FAILED,QMOF reference
qmof-6e49166,398.7,0.88,QMOF reference
qmof-39b825c,385.0,0.31,QMOF reference
qmof-3fcc991,,FAILED,QMOF reference
qmof-fbe14b0,249.0,0.84,QMOF reference
qmof-17b2b67,311.1,0.23,QMOF reference
qmof-ff8666b,291.5,0.79,QMOF reference
qmof-13cd67d,332.6,0.91,QMOF reference
qmof-eeb61a6,,FAILED,QMOF reference
qmof-0b89f2c,266.3,0.73,QMOF reference
qmof-39c37e1,295.1,0.65,QMOF reference
qmof-24538b7,,FAILED,QMOF reference
qmof-9e4fd83,329.3,0.79,QMOF reference
qmof-54be6c9,377.0,0.78,QMOF reference
qmof-fe08220,286.6,0.9,QMOF reference
qmof-85dd0ae,399.7,0.1,QMOF reference
qmof-be391c1,444.2,0.69,QMOF reference
qmof-563bfea,302.8,0.69,QMOF reference
qmof-ad90d19,266.8,0.57,QMOF reference
qmof-e7ef967,341.3,0.85,QMOF reference
qmof-ed830ef,288.5,0.21,QMOF reference
qmof-ceaa98a,301.5,0.88,QMOF reference
qmof-da2b203,,FAILED,QMOF reference
qmof-76f9a91,358.9,0.71,QMOF reference
qmof-50d7874,334.9,0.67,QMOF reference
qmof-286c11a,446.3,0.23,QMOF reference
qmof-17246e7,420.0,0.94,QMOF reference
qmof-27afebe,394.8,0.85,QMOF reference
qmof-c9ae2a3,304.3,0.94,QMOF reference
qmof-99da696,348.2,0.71,QMOF reference
qmof-add50d6,266.6,0.9,QMOF reference
qmof-222a152,,FAILED,QMOF reference
qmof-f57d767,335.4,0.59,QMOF reference
qmof-330556b,,FAILED,QMOF reference
qmof-902b24f,241.3,0.22,QMOF reference
qmof-3caf24b,291.1,0.21,QMOF reference
qmof-1f7e34d,327.0,0.63,QMOF reference
qmof-2e1f180,360.0,0.79,QMOF reference
qmof-8d22df6,,FAILED,QMOF reference
qmof-22e4ccf,316.1,0.83,QMOF reference
qmof-255a145,264.4,0.82,QMOF reference
qmof-240ebea,333.5,0.32,QMOF reference
qmof-28498f0,318.7,0.31,QMOF reference
qmof-6b4d058,,FAILED,QMOF reference
qmof-b2f4f8a,294.0,0.4,QMOF reference
qmof-d44e9a3,,FAILED,QMOF reference
qmof-9d1bb2b,271.4,0.84,QMOF reference
qmof-0b3a3c5,356.2,0.86,QMOF reference
qmof-59f8ae3,248.5,0.93,QMOF reference
qmof-da188cd,336.2,0.45,QMOF reference
qmof-ec0d951,216.8,0.23,QMOF reference
qmof-667620b,,FAILED,QMOF reference
qmof-04a69eb,415.3,0.85,QMOF reference
qmof-d207424,352.8,0.6,QMOF reference
qmof-4648c4d,339.5,0.62,QMOF reference
qmof-a9d0bad,,FAILED,QMOF reference
qmof-ac5fb8a,351.2,0.53,QMOF reference
qmof-50413d8,320.1,0.2,QMOF reference
qmof-be7d403,317.1,0.12,QMOF reference
qmof-b94a663,299.8,0.86,QMOF reference
qmof-204eab0,267.8,0.86,QMOF reference
qmof-3c02628,433.2,0.03,QMOF reference
qmof-432b63a,313.0,0.93,QMOF reference
qmof-d0263a7,325.2,0.41,QMOF reference
qmof-99d6026,,FAILED,QMOF reference
qmof-906b305,323.8,0.77,QMOF reference
qmof-beb185c,412.6,0.38,QMOF reference
qmof-7465794,376.9,0.75,QMOF reference
qmof-7050bc7,348.4,0.44,QMOF reference
qmof-7e1e181,,FAILED,QMOF reference
qmof-14fa587,290.1,0.29,QMOF reference
qmof-68845f6,,FAILED,QMOF reference
qmof-7f79cf6,346.3,0.44,QMOF reference
qmof-ced477a,,FAILED,QMOF reference
qmof-9a8dcf2,405.4,0.79,QMOF reference
qmof-6aa9d97,353.9,0.56,QMOF reference
qmof-7685f3d,,FAILED,QMOF reference
qmof-39f26c0,327.8,0.28,QMOF reference
qmof-c22f0dd,469.6,0.57,QMOF reference
qmof-95a42fb,412.0,0.37,QMOF reference
qmof-22c4bad,159.7,0.92,QMOF reference
qmof-9c4d48b,,FAILED,QMOF reference
qmof-2556db0,321.8,0.76,QMOF reference
qmof-0358909,202.8,0.06,QMOF reference
qmof-24ebfb1,330.0,0.65,QMOF reference
qmof-b053409,324.2,0.59,QMOF reference
qmof-9aedda6,272.3,0.66,QMOF reference
qmof-737bead,,FAILED,QMOF reference
qmof-6956373,313.7,0.14,QMOF reference
qmof-21933a2,320.8,0.74,QMOF reference
qmof-ec8cd79,328.3,0.43,QMOF reference
qmof-4aa2b93,372.2,0.51,QMOF reference
qmof-7fe12e1,328.7,0.84,QMOF reference
qmof-4b509da,442.2,0.16,QMOF reference
qmof-8185c91,431.1,0.53,QMOF reference
qmof-3eac45e,358.1,0.69,QMOF reference
qmof-a633b21,334.4,0.75,QMOF reference
qmof-882e145,376.8,0.23,QMOF reference
qmof-a7a4796,340.2,0.61,QMOF reference
qmof-688a1df,338.2,0.77,QMOF reference
qmof-68f3526,327.1,0.37,QMOF reference
qmof-db622c5,407.4,0.58,QMOF reference
qmof-2239292,326.2,0.9,QMOF reference
qmof-cd9dd93,381.8,0.38,QMOF reference
qmof-158ec44,312.8,0.14,QMOF reference
qmof-2596182,,FAILED,QMOF reference
