mof_id,formula,formation_energy_eV_per_atom,energy_eV,method,space_group
C64H24N16O17Zn4-3-MACE-OMat-D3,C64H24N16O17Zn4-3-MACE-OMat-D3,-0.104421,-901.354,MACE-OMat-D3,P1
C64H20N16O13Zn4-2_13-MACE-OMat-D3,C64H20N16O13Zn4-2_13-MACE-OMat-D3,-0.0660807,-863.265,MACE-OMat-D3,P1
C60H24N12O13S6Zn4-1_16-MACE-OMat-D3,C60H24N12O13S6Zn4-1_16-MACE-OMat-D3,-0.112435,-836.504,MACE-OMat-D3,P1
C60H18N12O19Zn4-3_17-MACE-OMat-D3,C60H18N12O19Zn4-3_17-MACE-OMat-D3,-0.200725,-831.26,MACE-OMat-D3,P1
C56H8N40O13Zn4-0_7-MACE-OMat-D3,C56H8N40O13Zn4-0_7-MACE-OMat-D3,0.111223,-929.864,MACE-OMat-D3,P1
C56H40N4O13Zn4-0_4-MACE-OMat-D3,C56H40N4O13Zn4-0_4-MACE-OMat-D3,-0.24096,-774.909,MACE-OMat-D3,P1
C56H36N12O5Zn4-3-MACE-OMat-D3,C56H36N12O5Zn4-3-MACE-OMat-D3,0.0651567,-753.55,MACE-OMat-D3,P1
C56H32N4O17Zn4-3_12-MACE-OMat-D3,C56H32N4O17Zn4-3_12-MACE-OMat-D3,-0.265536,-770.564,MACE-OMat-D3,P1
C54H18N12O19Zn4-3_2-MACE-OMat-D3,C54H18N12O19Zn4-3_2-MACE-OMat-D3,-0.214895,-776.404,MACE-OMat-D3,P1
C54H18N12O19Zn4-2_12-MACE-OMat-D3,C54H18N12O19Zn4-2_12-MACE-OMat-D3,-0.227233,-777.724,MACE-OMat-D3,P1
C54H18N12O19Zn4-0_14-MACE-OMat-D3,C54H18N12O19Zn4-0_14-MACE-OMat-D3,-0.203966,-775.234,MACE-OMat-D3,P1
C54H18N12O19Zn4-0_11-MACE-OMat-D3,C54H18N12O19Zn4-0_11-MACE-OMat-D3,-0.223733,-777.349,MACE-OMat-D3,P1
C52H44N8O17Zn4-2_5-MACE-OMat-D3,C52H44N8O17Zn4-2_5-MACE-OMat-D3,-0.26877,-809.68,MACE-OMat-D3,P1
C52H36N12O13Zn4-1_7-MACE-OMat-D3,C52H36N12O13Zn4-1_7-MACE-OMat-D3,-0.239179,-791.703,MACE-OMat-D3,P1
C52H32N4O17Zn4-1_3-MACE-OMat-D3,C52H32N4O17Zn4-1_3-MACE-OMat-D3,-0.249638,-730.991,MACE-OMat-D3,P1
C52H32N4O13Zn4-0_2-MACE-OMat-D3,C52H32N4O13Zn4-0_2-MACE-OMat-D3,-0.237802,-708.957,MACE-OMat-D3,P1
C52H28N8O13Zn4-0_1-MACE-OMat-D3,C52H28N8O13Zn4-0_1-MACE-OMat-D3,-0.196087,-724.98,MACE-OMat-D3,P1
C52H28N4O21Zn4-2_8-MACE-OMat-D3,C52H28N4O21Zn4-2_8-MACE-OMat-D3,-0.307197,-744.082,MACE-OMat-D3,P1
C52H28N4O21Zn4-1_7-MACE-OMat-D3,C52H28N4O21Zn4-1_7-MACE-OMat-D3,-0.325874,-746.118,MACE-OMat-D3,P1
C48H36N6O13Zn4-0_11-MACE-OMat-D3,C48H36N6O13Zn4-0_11-MACE-OMat-D3,-0.250796,-703.708,MACE-OMat-D3,P1
C48H36N12O13S4Zn4-2_2-MACE-OMat-D3,C48H36N12O13S4Zn4-2_2-MACE-OMat-D3,-0.2701,-775.058,MACE-OMat-D3,P1
C48H36N12O13S4Zn4-2_5-MACE-OMat-D3,C48H36N12O13S4Zn4-2_5-MACE-OMat-D3,-0.279854,-776.199,MACE-OMat-D3,P1
C48H32N8O17S4Zn4-3_1-MACE-OMat-D3,C48H32N8O17S4Zn4-3_1-MACE-OMat-D3,-0.277902,-748.298,MACE-OMat-D3,P1
C48H30N6O13Zn4-2_4-MACE-OMat-D3,C48H30N6O13Zn4-2_4-MACE-OMat-D3,-0.255721,-683.239,MACE-OMat-D3,P1
C48H28N4O13Zn4-2_7-MACE-OMat-D3,C48H28N4O13Zn4-2_7-MACE-OMat-D3,-0.253337,-658.808,MACE-OMat-D3,P1
C48H28N12O17Zn4-2_14-MACE-OMat-D3,C48H28N12O17Zn4-2_14-MACE-OMat-D3,-0.265096,-749.679,MACE-OMat-D3,P1
C48H28N12O17Zn4-1_11-MACE-OMat-D3,C48H28N12O17Zn4-1_11-MACE-OMat-D3,-0.187023,-741.169,MACE-OMat-D3,P1
C48H24N8O17S8Zn4-1_6-MACE-OMat-D3,C48H24N8O17S8Zn4-1_6-MACE-OMat-D3,-0.186984,-727.841,MACE-OMat-D3,P1
C48H20N12O9Zn4-3_4-MACE-OMat-D3,C48H20N12O9Zn4-3_4-MACE-OMat-D3,-0.0371276,-658.701,MACE-OMat-D3,P1
C48H18N12O19Zn4-3_13-MACE-OMat-D3,C48H18N12O19Zn4-3_13-MACE-OMat-D3,-0.276239,-726.142,MACE-OMat-D3,P1
C48H18N12O19Zn4-2_7-MACE-OMat-D3,C48H18N12O19Zn4-2_7-MACE-OMat-D3,-0.271771,-725.691,MACE-OMat-D3,P1
C48H18N12O19Zn4-1_14-MACE-OMat-D3,C48H18N12O19Zn4-1_14-MACE-OMat-D3,-0.21222,-719.676,MACE-OMat-D3,P1
C48H18N12O19Zn4-0_17-MACE-OMat-D3,C48H18N12O19Zn4-0_17-MACE-OMat-D3,-0.180614,-716.484,MACE-OMat-D3,P1
C48H16N16O17Zn4-1_6-MACE-OMat-D3,C48H16N16O17Zn4-1_6-MACE-OMat-D3,-0.145861,-729.969,MACE-OMat-D3,P1
C48F8H32N16O9Zn4-3-MACE-OMat-D3,C48F8H32N16O9Zn4-3-MACE-OMat-D3,-0.310337,-778.641,MACE-OMat-D3,P1
C45H24N6O13Zn4-2_1-MACE-OMat-D3,C45H24N6O13Zn4-2_1-MACE-OMat-D3,-0.168308,-625.849,MACE-OMat-D3,P1
C44H40N20O17Zn4-1_6-MACE-OMat-D3,C44H40N20O17Zn4-1_6-MACE-OMat-D3,-0.367116,-835.576,MACE-OMat-D3,P1
C44H36N16O5Zn4-0_2-MACE-OMat-D3,C44H36N16O5Zn4-0_2-MACE-OMat-D3,-0.00986171,-684.991,MACE-OMat-D3,P1
C44H32N8O13Zn4-1_13-MACE-OMat-D3,C44H32N8O13Zn4-1_13-MACE-OMat-D3,-0.262003,-670.271,MACE-OMat-D3,P1
C42H30N12O16Zn4-2-MACE-OMat-D3,C42H30N12O16Zn4-2-MACE-OMat-D3,-0.273931,-695.644,MACE-OMat-D3,P1
C42H30N4O11Zn4-2_4-MACE-OMat-D3,C42H30N4O11Zn4-2_4-MACE-OMat-D3,-0.185456,-592.534,MACE-OMat-D3,P1
C42H24N6O13Zn4-3_10-MACE-OMat-D3,C42H24N6O13Zn4-3_10-MACE-OMat-D3,-0.258024,-605.744,MACE-OMat-D3,P1
C42H24N6O13Zn4-2_6-MACE-OMat-D3,C42H24N6O13Zn4-2_6-MACE-OMat-D3,-0.258026,-605.745,MACE-OMat-D3,P1
C40H36N8O13Zn4-5_13-MACE-OMat-D3,C40H36N8O13Zn4-5_13-MACE-OMat-D3,-0.298607,-650.165,MACE-OMat-D3,P1
C40H24N12O21Zn4-1_14-MACE-OMat-D3,C40H24N12O21Zn4-1_14-MACE-OMat-D3,-0.314746,-685.833,MACE-OMat-D3,P1
C40H20N8O17Zn4-2_7-MACE-OMat-D3,C40H20N8O17Zn4-2_7-MACE-OMat-D3,-0.190035,-604.811,MACE-OMat-D3,P1
C40H16O5Zn4-2-MACE-OMat-D3,C40H16O5Zn4-2-MACE-OMat-D3,0.26273,-431.711,MACE-OMat-D3,P1
C40H16N24O25Zn4-3_2-MACE-OMat-D3,C40H16N24O25Zn4-3_2-MACE-OMat-D3,-0.246309,-774.869,MACE-OMat-D3,P1
C40H20N4O9Zn4-2_2-MACE-OMat-D3,C40H20N4O9Zn4-2_2-MACE-OMat-D3,-0.0419982,-518.168,MACE-OMat-D3,P1
C33H18O13Zn4-0_7-MACE-OMat-D3,C33H18O13Zn4-0_7-MACE-OMat-D3,-0.345751,-454.009,MACE-OMat-D3,P1
C32H24N16O13Zn4-2_8-MACE-OMat-D3,C32H24N16O13Zn4-2_8-MACE-OMat-D3,-0.30159,-601.121,MACE-OMat-D3,P1
C30H12N18O19Zn4-1_1-MACE-OMat-D3,C30H12N18O19Zn4-1_1-MACE-OMat-D3,-0.282936,-586.827,MACE-OMat-D3,P1
C27H15N3O13S6Zn4-2_11-MACE-OMat-D3,C27H15N3O13S6Zn4-2_11-MACE-OMat-D3,-0.237477,-431.554,MACE-OMat-D3,P1
C24H24O17Zn4-0_9-MACE-OMat-D3,C24H24O17Zn4-0_9-MACE-OMat-D3,-0.537945,-424.12,MACE-OMat-D3,P1
C21H18O13Zn4-3_9-MACE-OMat-D3,C21H18O13Zn4-3_9-MACE-OMat-D3,-0.527624,-349.709,MACE-OMat-D3,P1
C20H12O15Zn4-3_15-MACE-OMat-D3,C20H12O15Zn4-3_15-MACE-OMat-D3,-0.580867,-331.026,MACE-OMat-D3,P1
C20H20N4O11Zn4-1_8-MACE-OMat-D3,C20H20N4O11Zn4-1_8-MACE-OMat-D3,-0.423222,-365.908,MACE-OMat-D3,P1
C20H12N6O11Zn4-0_5-MACE-OMat-D3,C20H12N6O11Zn4-0_5-MACE-OMat-D3,-0.333371,-349.345,MACE-OMat-D3,P1
C18H12O19Zn4-3_5-MACE-OMat-D3,C18H12O19Zn4-3_5-MACE-OMat-D3,-0.747703,-342.433,MACE-OMat-D3,P1
C18H12O19Zn4-2_6-MACE-OMat-D3,C18H12O19Zn4-2_6-MACE-OMat-D3,-0.735187,-341.77,MACE-OMat-D3,P1
C18H12O19Zn4-2_3-MACE-OMat-D3,C18H12O19Zn4-2_3-MACE-OMat-D3,-0.75297,-342.712,MACE-OMat-D3,P1
C18H12O19Zn4-0_26-MACE-OMat-D3,C18H12O19Zn4-0_26-MACE-OMat-D3,-0.732307,-341.617,MACE-OMat-D3,P1
C24H15O13Zn4-0_1.0-r2SCAN-D4,C24H15O13Zn4-0_1.0-r2SCAN-D4,-0.508658,-432.483,r2SCAN-D4,P1
C21H18O13Zn4-3_9.0-r2SCAN-D4,C21H18O13Zn4-3_9.0-r2SCAN-D4,-0.541754,-414.657,r2SCAN-D4,P1
C56H24N16O17Zn4-3_16-MACE-OMat-D3,C56H24N16O17Zn4-3_16-MACE-OMat-D3,-0.118147,-828.567,MACE-OMat-D3,P1
C56H24N12O21Zn4-0_3-MACE-OMat-D3,C56H24N12O21Zn4-0_3-MACE-OMat-D3,-0.220113,-826.911,MACE-OMat-D3,P1
C52H20N8O13Zn4-3_6-MACE-OMat-D3,C52H20N8O13Zn4-3_6-MACE-OMat-D3,-0.153118,-693.294,MACE-OMat-D3,P1
C52H20N12O13Zn4-2_2-MACE-OMat-D3,C52H20N12O13Zn4-2_2-MACE-OMat-D3,-0.0426878,-716.131,MACE-OMat-D3,P1
C51H33N12O22Zn4-2_5-MACE-OMat-D3,C51H33N12O22Zn4-2_5-MACE-OMat-D3,-0.300875,-826.033,MACE-OMat-D3,P1
C48H24N6O13S6Zn4-1_11-MACE-OMat-D3,C48H24N6O13S6Zn4-1_11-MACE-OMat-D3,-0.201854,-683.108,MACE-OMat-D3,P1
C48H24N28O17Zn4-2-MACE-OMat-D3,C48H24N28O17Zn4-2-MACE-OMat-D3,-0.178117,-862.874,MACE-OMat-D3,P1
C48H24N24O10Zn4-0_1-MACE-OMat-D3,C48H24N24O10Zn4-0_1-MACE-OMat-D3,-0.0689091,-780.887,MACE-OMat-D3,P1
C48H24N20O13Zn4-0_15-MACE-OMat-D3,C48H24N20O13Zn4-0_15-MACE-OMat-D3,-0.196199,-776.158,MACE-OMat-D3,P1
