Angle,AA_3-12-2_Zn-DMF
2.0001000,.0000000
2.0205170,-.0001779
2.0409340,.0023929
2.0613520,.0074212
2.0817690,.0041067
2.1021860,-.0001132
2.1226030,.0006144
2.1430200,-.0004365
2.1634370,-.0054648
2.1838550,.0009054
2.2042720,.0027324
2.2246890,.0047373
2.2451060,.0050445
2.2655230,.0045271
2.2859410,-.0034276
2.3063580,-.0024576
2.3267750,-.0047211
2.3471920,-.0050768
2.3676090,-.0045594
2.3880260,-.0003816
2.4084440,-.0024058
2.4288610,-.0043589
2.4492780,-.0070170
2.4696950,-.0097009
2.4901120,-.0100889
2.5105300,-.0107680
2.5309470,-.0111560
2.5513640,-.0076314
2.5717810,-.0049475
2.5921980,-.0031043
2.6126160,.0010348
2.6330330,.0016815
2.6534500,-.0005174
2.6738670,-.0020372
2.6942840,-.0011318
2.7147010,-.0026516
2.7351190,-.0008407
2.7555360,.0006791
2.7759530,.0021989
2.7963700,.0006985
2.8167870,.0012870
2.8372040,.0013129
2.8576220,.0015521
2.8780390,.0015521
2.8984560,.0021989
2.9188730,.0012288
2.9392900,.0012935
2.9597070,-.0002587
2.9801250,.0000000
3.0005420,.0000970
3.0209590,.0003557
3.0413760,.0002264
3.0617940,.0022312
3.0822110,.0011964
3.1026280,-.0005497
3.1230450,-.0016492
3.1434620,-.0014875
3.1638790,-.0010994
3.1842970,-.0003234
3.2047140,.0014454
3.2251310,.0031399
3.2455480,.0037898
3.2659650,.0017785
3.2863820,.0022797
3.3068000,.0021342
3.3272170,.0023120
3.3476340,.0038480
3.3680510,.0032498
3.3884690,.0027486
3.4088850,.0022215
3.4293030,.0014745
3.4497200,-.0012061
3.4701370,-.0001293
3.4905540,-.0013743
3.5109720,-.0018108
3.5313890,-.0019240
3.5518060,-.0010994
3.5722230,-.0011803
3.5926400,.0007761
3.6130570,.0013420
3.6334750,.0001940
3.6538920,.0000808
3.6743090,.0001940
3.6947260,-.0001455
3.7151430,-.0005174
3.7355600,.0012126
3.7559780,.0011318
3.7763950,.0007599
3.7968120,.0004850
3.8172290,-.0005335
3.8376460,-.0006467
3.8580640,.0008569
3.8784810,.0028779
3.8988980,.0025707
3.9193150,.0045918
3.9397320,.0046079
3.9601500,.0040420
3.9805670,.0024737
4.0009840,.0039127
4.0214010,.0037348
4.0418180,.0033306
4.0622350,.0026354
4.0826530,.0027486
4.1030700,.0022797
4.1234870,.0031690
4.1439040,.0049636
4.1643210,.0058529
4.1847390,.0073888
4.2051560,.0066289
4.2255730,.0046590
4.2459900,.0046804
4.2664070,.0049145
4.2868240,.0044236
4.3072410,.0064414
4.3276590,.0080711
4.3480760,.0069846
4.3684930,.0057688
4.3889100,.0051997
4.4093280,.0032401
4.4297450,.0024446
4.4501620,.0032013
4.4705790,.0030525
4.4909960,.0023217
4.5114140,.0019143
4.5318310,.0023799
4.5522480,.0007437
4.5726650,.0007567
4.5930820,.0027421
4.6134990,.0037575
4.6339160,.0034470
4.6543340,.0045918
4.6747510,.0056394
4.6951680,.0043266
4.7155850,.0042425
4.7360020,.0038998
4.7564200,.0041714
4.7768370,.0038610
4.7972540,.0037769
4.8176710,.0038868
4.8380890,.0041261
4.8585060,.0030396
4.8789230,.0027615
