0214_Al_Me_s    2theta
BANK 1 5000 5000    CONST 2.0001    0.011229 0 0 FXYE
2.0001    8646.000    0
2.011329    8799.000    0
2.022559    8330.000    0
2.033788    8180.000    0
2.045018    8159.000    0
2.056247    7970.000    0
2.067477    7662.000    0
2.078706    7537.000    0
2.089936    7499.000    0
2.101165    7216.000    0
2.112395    7240.000    0
2.123624    6942.000    0
2.134853    6904.000    0
2.146083    6695.000    0
2.157312    6338.000    0
2.168542    6296.000    0
2.179771    6047.000    0
2.191001    5994.000    0
2.20223    5812.000    0
2.21346    5624.000    0
2.224689    5590.000    0
2.235918    5492.000    0
2.247148    5293.000    0
2.258377    5222.000    0
2.269607    5126.000    0
2.280836    4923.000    0
2.292066    4660.000    0
2.303295    4584.000    0
2.314525    4524.000    0
2.325754    4427.000    0
2.336984    4255.000    0
2.348213    4133.000    0
2.359442    4118.000    0
2.370672    3951.000    0
2.381901    3891.000    0
2.393131    3771.000    0
2.40436    3610.000    0
2.41559    3408.000    0
2.426819    3301.000    0
2.438049    3302.000    0
2.449278    3193.000    0
2.460507    3015.000    0
2.471737    2878.000    0
2.482966    2728.000    0
2.494196    2679.000    0
2.505425    2571.000    0
2.516655    2485.000    0
2.527884    2286.000    0
2.539114    2283.000    0
2.550343    2103.000    0
2.561573    2072.000    0
2.572802    2022.000    0
2.584031    1933.000    0
2.595261    1885.000    0
2.60649    1846.000    0
2.61772    1679.000    0
2.628949    1730.000    0
2.640179    1599.000    0
2.651408    1620.000    0
2.662638    1581.000    0
2.673867    1519.000    0
2.685096    1364.000    0
2.696326    1344.000    0
2.707555    1413.000    0
2.718785    1377.000    0
2.730014    1368.000    0
2.741244    1344.000    0
2.752473    1242.000    0
2.763703    1262.000    0
2.774932    1279.000    0
2.786162    1240.000    0
2.797391    1299.000    0
2.80862    1265.000    0
2.81985    1158.000    0
2.831079    1260.000    0
2.842309    1244.000    0
2.853538    1183.000    0
2.864768    1202.000    0
2.875997    1162.000    0
2.887227    1063.000    0
2.898456    1171.000    0
2.909685    1110.000    0
2.920915    1070.000    0
2.932144    1127.000    0
2.943374    1133.000    0
2.954603    1088.000    0
2.965833    1098.000    0
2.977062    1169.000    0
2.988292    1088.000    0
2.999521    1091.000    0
3.010751    1076.000    0
3.02198    1008.000    0
3.033209    1072.000    0
3.044439    1016.000    0
3.055668    1019.000    0
3.066898    1048.000    0
3.078127    1065.000    0
3.089357    1011.000    0
3.100586    996.000    0
3.111816    1032.000    0
3.123045    1000.000    0
3.134274    991.000    0
3.145504    993.000    0
3.156733    943.000    0
3.167963    1009.000    0
3.179192    1049.000    0
3.190422    1038.000    0
3.201651    939.000    0
3.212881    952.000    0
3.22411    1014.000    0
3.23534    1004.000    0
3.246569    942.000    0
3.257798    943.000    0
3.269028    961.000    0
3.280257    920.000    0
3.291487    946.000    0
3.302716    910.000    0
3.313946    949.000    0
3.325175    975.000    0
3.336405    938.000    0
3.347634    942.000    0
3.358863    927.000    0
3.370093    929.000    0
3.381322    939.000    0
3.392552    950.000    0
3.403781    951.000    0
3.415011    913.000    0
3.42624    885.000    0
3.43747    924.000    0
3.448699    900.000    0
3.459929    873.000    0
3.471158    858.000    0
3.482387    848.000    0
3.493617    953.000    0
3.504846    887.000    0
3.516076    881.000    0
3.527305    966.000    0
3.538535    898.000    0
3.549764    856.000    0
3.560994    835.000    0
3.572223    851.000    0
3.583453    818.000    0
3.594682    835.000    0
3.605911    882.000    0
3.617141    857.000    0
3.62837    881.000    0
3.6396    799.000    0
3.650829    843.000    0
3.662059    877.000    0
3.673288    808.000    0
3.684518    915.000    0
3.695747    804.000    0
3.706976    827.000    0
3.718206    817.000    0
3.729435    850.000    0
3.740665    857.000    0
3.751894    826.000    0
3.763124    812.000    0
3.774353    797.000    0
3.785583    829.000    0
3.796812    825.000    0
3.808042    834.000    0
3.819271    817.000    0
3.8305    789.000    0
3.84173    815.000    0
3.852959    823.000    0
3.864189    806.000    0
3.875418    793.000    0
3.886648    786.000    0
3.897877    790.000    0
3.909107    792.000    0
3.920336    850.000    0
3.931565    765.000    0
3.942795    829.000    0
3.954024    772.000    0
3.965254    799.000    0
3.976483    801.000    0
3.987713    787.000    0
3.998942    731.000    0
4.010172    779.000    0
4.021401    787.000    0
4.032631    780.000    0
4.04386    737.000    0
4.055089    750.000    0
4.066319    700.000    0
4.077548    808.000    0
4.088778    743.000    0
4.100007    719.000    0
4.111237    736.000    0
4.122466    757.000    0
4.133696    778.000    0
4.144925    782.000    0
4.156154    771.000    0
4.167384    740.000    0
4.178613    747.000    0
4.189843    802.000    0
4.201072    724.000    0
4.212302    779.000    0
4.223531    715.000    0
4.234761    718.000    0
4.24599    759.000    0
4.25722    708.000    0
4.268449    745.000    0
4.279678    775.000    0
4.290908    763.000    0
4.302137    675.000    0
4.313367    720.000    0
4.324596    759.000    0
4.335826    728.000    0
4.347055    742.000    0
4.358285    701.000    0
4.369514    687.000    0
4.380743    737.000    0
4.391973    744.000    0
4.403202    705.000    0
4.414432    679.000    0
4.425661    697.000    0
4.436891    693.000    0
4.44812    715.000    0
4.45935    700.000    0
4.470579    682.000    0
4.481809    736.000    0
4.493038    704.000    0
4.504267    664.000    0
4.515497    696.000    0
4.526726    669.000    0
4.537956    652.000    0
4.549185    688.000    0
4.560415    680.000    0
4.571644    677.000    0
4.582874    631.000    0
4.594103    721.000    0
4.605332    716.000    0
4.616562    673.000    0
4.627791    645.000    0
4.639021    698.000    0
4.65025    663.000    0
4.66148    660.000    0
4.672709    678.000    0
4.683939    677.000    0
4.695168    646.000    0
4.706398    659.000    0
4.717627    621.000    0
4.728856    648.000    0
4.740086    636.000    0
4.751315    648.000    0
4.762545    640.000    0
4.773774    697.000    0
4.785004    644.000    0
4.796233    685.000    0
4.807463    636.000    0
4.818692    635.000    0
4.829922    664.000    0
4.841151    668.000    0
4.85238    662.000    0
4.86361    577.000    0
4.874839    622.000    0
4.886069    643.000    0
4.897298    630.000    0
4.908528    616.000    0
4.919757    626.000    0
4.930987    626.000    0
4.942216    610.000    0
4.953445    607.000    0
4.964675    646.000    0
4.975904    601.000    0
4.987134    618.000    0
4.998363    603.000    0
5.009593    581.000    0
5.020822    622.000    0
5.032052    639.000    0
5.043281    619.000    0
5.054511    638.000    0
5.06574    612.000    0
5.076969    608.000    0
5.088199    586.000    0
5.099428    605.000    0
5.110658    638.000    0
5.121887    649.000    0
